,h_geocode,w_geocode,S000,SA01,SA02,SA03,SE01,SE02,SE03,SI01,SI02,SI03,h_lon,h_lat,w_lon,w_lat
0,48001950100,48001950100,197,37,98,62,37,88,72,43,42,112,-95.55356631769813,31.97154223673867,-95.55356631769813,31.97154223673867
1,48001950500,48001950100,10,0,8,2,0,5,5,6,2,2,-95.64219888698166,31.788051663252116,-95.55356631769813,31.97154223673867
2,48001950600,48001950100,10,3,6,1,2,3,5,1,3,6,-95.6693945811833,31.7507884277959,-95.55356631769813,31.97154223673867
3,48001950700,48001950100,3,1,0,2,0,3,0,1,2,0,-95.63459842209127,31.75046261427718,-95.55356631769813,31.97154223673867
4,48001950800,48001950100,6,1,4,1,3,2,1,1,1,4,-95.61459664173714,31.73926594430594,-95.55356631769813,31.97154223673867
